"<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>"
"AFLT,D,20231227,000000,35.4500000,35.5300000,35.0000000,35.1100000,7581640"
"AFLT,D,20231228,000000,35.1000000,35.2200000,34.7100000,34.8700000,7901260"
"AFLT,D,20231229,000000,34.9200000,35.4000000,34.7000000,35.0500000,7750660"
"AFLT,D,20240103,000000,35.2100000,35.7800000,35.1200000,35.7500000,5718080"
"AFLT,D,20240104,000000,35.8200000,35.8200000,35.4600000,35.5700000,3524340"
"AFLT,D,20240105,000000,35.5900000,36.9700000,35.5400000,36.8500000,19735020"
"AFLT,D,20240108,000000,36.9000000,37.7500000,36.9000000,37.5000000,16766560"
"AFLT,D,20240109,000000,37.6000000,37.9400000,37.1800000,37.6900000,13100880"
"AFLT,D,20240110,000000,37.6900000,37.9400000,37.4000000,37.4500000,8089210"
"AFLT,D,20240111,000000,37.5000000,37.8300000,36.9700000,37.8000000,11777010"
"AFLT,D,20240112,000000,37.9500000,38.7800000,37.7800000,38.0100000,13270890"
"AFLT,D,20240115,000000,38.0500000,38.6300000,38.0500000,38.2000000,9192540"
"AFLT,D,20240116,000000,38.1900000,38.2100000,37.6200000,37.9700000,8319200"
